external_id,customer_external_id,ordered_at,status,total_amount,discount_amount,delivery_fee,currency,channel,coupon_code,delivery_city
ORD-00006-04,CUST-00006,2026-05-14T19:05:00.262656,COMPLETED,73.96,0.00,7.99,NZD,ios,,Wellington
ORD-00006-05,CUST-00006,2026-06-15T17:11:00.262656,COMPLETED,165.96,0.00,0.00,NZD,web,,Wellington
ORD-00006-06,CUST-00006,2026-07-16T17:53:00.262656,COMPLETED,27.98,0.00,7.99,NZD,web,,Wellington
ORD-00006-07,CUST-00006,2026-08-16T17:34:00.262656,COMPLETED,25.08,1.90,7.99,NZD,ios,GIMME10,Wellington
ORD-00007-01,CUST-00007,2025-12-26T18:33:00.262656,COMPLETED,57.57,12.39,7.99,NZD,ios,WELCOME15,Christchurch
ORD-00007-02,CUST-00007,2025-12-24T16:34:00.262656,COMPLETED,82.97,0.00,7.99,NZD,android,,Christchurch
ORD-00007-03,CUST-00007,2026-01-12T18:16:00.262656,COMPLETED,149.98,0.00,0.00,NZD,web,,Christchurch
ORD-00007-04,CUST-00007,2026-02-12T18:13:00.262656,COMPLETED,27.98,0.00,7.99,NZD,web,,Christchurch
ORD-00007-05,CUST-00007,2026-03-18T20:35:00.262656,COMPLETED,29.98,0.00,7.99,NZD,web,,Christchurch
ORD-00007-06,CUST-00007,2026-04-18T19:28:00.262656,COMPLETED,89.99,0.00,0.00,NZD,web,,Christchurch
ORD-00007-07,CUST-00007,2026-05-24T21:55:00.262656,COMPLETED,183.97,45.99,0.00,NZD,android,WELCOME15,Christchurch
ORD-00007-08,CUST-00007,2026-06-25T20:20:00.262656,COMPLETED,87.97,0.00,7.99,NZD,web,,Christchurch
ORD-00007-09,CUST-00007,2026-07-30T21:23:00.262656,COMPLETED,29.98,0.00,7.99,NZD,web,,Christchurch
ORD-00008-01,CUST-00008,2026-03-15T18:49:00.262656,COMPLETED,209.94,0.00,0.00,NZD,android,,Tauranga
ORD-00008-02,CUST-00008,2026-04-07T14:45:00.262656,CANCELLED,245.95,0.00,0.00,NZD,web,,Tauranga
ORD-00008-03,CUST-00008,2026-04-26T20:59:00.262656,COMPLETED,30.98,0.00,7.99,NZD,web,,Tauranga
ORD-00008-04,CUST-00008,2026-05-13T20:43:00.262656,COMPLETED,105.98,0.00,0.00,NZD,web,,Tauranga
ORD-00008-05,CUST-00008,2026-05-31T17:54:00.262656,COMPLETED,115.96,0.00,0.00,NZD,web,,Tauranga
ORD-00008-06,CUST-00008,2026-06-21T21:15:00.262656,COMPLETED,58.37,12.60,7.99,NZD,web,RESTOCK20,Tauranga
ORD-00008-07,CUST-00008,2026-07-10T19:38:00.262656,COMPLETED,120.76,30.19,0.00,NZD,web,GIMME10,Tauranga
ORD-00008-08,CUST-00008,2026-07-28T19:15:00.262656,COMPLETED,160.93,0.00,0.00,NZD,android,,Tauranga
ORD-00010-01,CUST-00010,2026-01-04T18:27:00.262656,COMPLETED,23.28,2.70,7.99,NZD,web,RESTOCK20,Christchurch
ORD-00010-02,CUST-00010,2026-02-11T19:45:00.262656,COMPLETED,62.98,0.00,7.99,NZD,web,,Christchurch
ORD-00010-03,CUST-00010,2026-03-21T19:58:00.262656,COMPLETED,79.98,8.00,7.99,NZD,android,WELCOME15,Christchurch
ORD-00011-01,CUST-00011,2026-01-13T21:59:00.262656,COMPLETED,46.37,9.60,7.99,NZD,web,WELCOME15,Christchurch
ORD-00012-01,CUST-00012,2026-08-11T18:45:00.262656,COMPLETED,43.97,0.00,7.99,NZD,web,,Wellington
ORD-00014-01,CUST-00014,2025-10-25T21:53:00.262656,COMPLETED,59.26,5.70,7.99,NZD,web,RESTOCK20,Napier
ORD-00014-02,CUST-00014,2025-11-26T19:06:00.262656,COMPLETED,73.77,8.20,0.00,NZD,web,GIMME10,Napier
ORD-00014-03,CUST-00014,2025-12-31T20:29:00.262656,COMPLETED,55.97,12.00,7.99,NZD,web,GIMME10,Napier
ORD-00014-04,CUST-00014,2026-02-04T17:21:00.262656,COMPLETED,37.98,0.00,7.99,NZD,android,,Napier
ORD-00014-05,CUST-00014,2026-02-28T21:58:00.262656,COMPLETED,43.97,0.00,7.99,NZD,web,,Napier
ORD-00014-06,CUST-00014,2026-03-29T16:31:00.262656,COMPLETED,47.57,4.40,7.99,NZD,ios,GIMME10,Napier
ORD-00014-07,CUST-00014,2026-04-27T18:47:00.262656,COMPLETED,58.97,9.00,7.99,NZD,ios,GIMME10,Napier
ORD-00014-08,CUST-00014,2026-05-21T16:28:00.262656,COMPLETED,37.98,0.00,7.99,NZD,ios,,Napier
ORD-00014-09,CUST-00014,2026-06-11T19:41:00.262656,COMPLETED,37.98,0.00,7.99,NZD,web,,Napier
ORD-00014-10,CUST-00014,2026-06-29T21:53:00.262656,REFUNDED,33.48,4.50,7.99,NZD,web,GIMME10,Napier
ORD-00016-01,CUST-00016,2025-08-26T20:34:00.262656,COMPLETED,51.97,0.00,7.99,NZD,web,,Hamilton
ORD-00016-02,CUST-00016,2025-08-25T19:34:00.262656,COMPLETED,82.98,0.00,7.99,NZD,android,,Hamilton
ORD-00016-03,CUST-00016,2025-09-22T17:35:00.262656,COMPLETED,57.26,8.70,7.99,NZD,web,WELCOME15,Hamilton
ORD-00016-04,CUST-00016,2025-10-30T19:15:00.262656,COMPLETED,149.98,0.00,0.00,NZD,ios,,Hamilton
ORD-00016-05,CUST-00016,2025-12-06T20:35:00.262656,CANCELLED,82.98,0.00,7.99,NZD,web,,Hamilton
ORD-00016-06,CUST-00016,2026-08-01T18:22:00.262656,COMPLETED,40.98,0.00,7.99,NZD,ios,,Hamilton
ORD-00018-01,CUST-00018,2026-06-27T19:36:00.262656,COMPLETED,92.98,0.00,0.00,NZD,web,,Auckland
ORD-00018-02,CUST-00018,2026-06-26T18:18:00.262656,COMPLETED,47.97,10.00,7.99,NZD,ios,WELCOME15,Auckland
ORD-00018-03,CUST-00018,2026-07-24T14:18:00.262656,COMPLETED,50.47,7.50,7.99,NZD,android,WELCOME15,Auckland
ORD-00019-01,CUST-00019,2026-02-15T19:08:00.262656,COMPLETED,95.38,10.60,0.00,NZD,ios,WELCOME15,Auckland
ORD-00019-02,CUST-00019,2026-03-06T11:05:00.262656,COMPLETED,149.98,0.00,0.00,NZD,android,,Auckland
ORD-00019-03,CUST-00019,2026-03-24T14:45:00.262656,COMPLETED,63.97,0.00,7.99,NZD,android,,Auckland
ORD-00019-04,CUST-00019,2026-04-13T18:13:00.262656,COMPLETED,25.08,1.90,7.99,NZD,android,WELCOME15,Auckland
ORD-00019-05,CUST-00019,2026-05-07T18:23:00.262656,COMPLETED,35.98,0.00,7.99,NZD,ios,,Auckland
ORD-00019-06,CUST-00019,2026-05-27T17:20:00.262656,COMPLETED,67.96,0.00,7.99,NZD,web,,Auckland
ORD-00019-07,CUST-00019,2026-06-17T20:46:00.262656,COMPLETED,50.47,7.50,7.99,NZD,web,WELCOME15,Auckland
ORD-00019-08,CUST-00019,2026-07-04T18:18:00.262656,COMPLETED,53.97,0.00,7.99,NZD,web,,Auckland
ORD-00019-09,CUST-00019,2026-07-14T20:12:00.262656,COMPLETED,82.97,0.00,7.99,NZD,web,,Auckland
ORD-00020-01,CUST-00020,2026-05-04T18:37:00.262656,COMPLETED,127.96,0.00,0.00,NZD,android,,Wellington
ORD-00020-02,CUST-00020,2026-05-24T14:59:00.262656,COMPLETED,85.97,0.00,7.99,NZD,web,,Wellington
ORD-00020-03,CUST-00020,2026-06-11T20:53:00.262656,COMPLETED,129.96,0.00,0.00,NZD,ios,,Wellington
ORD-00020-04,CUST-00020,2026-07-04T20:20:00.262656,COMPLETED,105.98,0.00,0.00,NZD,web,,Wellington
ORD-00020-05,CUST-00020,2026-07-25T18:59:00.262656,COMPLETED,116.96,0.00,0.00,NZD,android,,Wellington
ORD-00020-06,CUST-00020,2026-08-17T20:52:00.262656,COMPLETED,71.97,0.00,7.99,NZD,android,,Wellington
ORD-00023-01,CUST-00023,2025-06-23T17:26:00.262656,COMPLETED,106.23,18.75,0.00,NZD,android,RESTOCK20,Napier
ORD-00023-02,CUST-00023,2025-06-22T19:11:00.262656,COMPLETED,87.98,0.00,7.99,NZD,web,,Napier
ORD-00023-03,CUST-00023,2025-06-25T18:58:00.262656,COMPLETED,57.98,0.00,7.99,NZD,ios,,Napier
ORD-00023-04,CUST-00023,2025-07-15T18:33:00.262656,COMPLETED,87.98,0.00,7.99,NZD,ios,,Napier
ORD-00023-05,CUST-00023,2025-08-10T18:42:00.262656,REFUNDED,161.98,18.00,0.00,NZD,web,GIMME10,Napier
ORD-00023-06,CUST-00023,2025-09-12T21:30:00.262656,COMPLETED,118.97,21.00,0.00,NZD,web,GIMME10,Napier
ORD-00023-07,CUST-00023,2025-10-08T19:36:00.262656,COMPLETED,50.48,7.50,7.99,NZD,ios,WELCOME15,Napier
ORD-00023-08,CUST-00023,2025-10-31T19:05:00.262656,COMPLETED,62.98,0.00,7.99,NZD,web,,Napier
ORD-00024-01,CUST-00024,2026-08-05T18:31:00.262656,COMPLETED,71.98,16.00,7.99,NZD,web,GIMME10,Wellington
ORD-00027-01,CUST-00027,2025-10-23T16:58:00.262656,COMPLETED,95.38,10.60,0.00,NZD,ios,RESTOCK20,Christchurch
ORD-00027-02,CUST-00027,2025-11-19T17:27:00.262656,COMPLETED,87.97,0.00,7.99,NZD,android,,Christchurch
ORD-00027-03,CUST-00027,2025-12-12T18:01:00.262656,COMPLETED,37.73,5.25,7.99,NZD,web,GIMME10,Christchurch
ORD-00027-04,CUST-00027,2026-01-10T18:21:00.262656,COMPLETED,55.97,0.00,7.99,NZD,ios,,Christchurch
ORD-00027-05,CUST-00027,2026-02-11T20:45:00.262656,COMPLETED,65.97,0.00,7.99,NZD,ios,,Christchurch
ORD-00027-06,CUST-00027,2026-03-13T21:45:00.262656,COMPLETED,53.97,0.00,7.99,NZD,web,,Christchurch
ORD-00028-01,CUST-00028,2026-08-17T18:24:00.262656,COMPLETED,53.97,0.00,7.99,NZD,web,,Auckland
ORD-00031-01,CUST-00031,2026-01-06T18:16:00.262656,COMPLETED,152.96,0.00,0.00,NZD,web,,Christchurch
ORD-00031-02,CUST-00031,2026-01-26T21:32:00.262656,COMPLETED,267.69,47.24,0.00,NZD,ios,WELCOME15,Christchurch
ORD-00031-03,CUST-00031,2026-02-12T21:31:00.262656,COMPLETED,96.98,0.00,0.00,NZD,web,,Christchurch
ORD-00031-04,CUST-00031,2026-02-28T21:17:00.262656,COMPLETED,102.98,0.00,0.00,NZD,android,,Christchurch
ORD-00031-05,CUST-00031,2026-03-17T20:18:00.262656,COMPLETED,154.97,0.00,0.00,NZD,web,,Christchurch
ORD-00031-06,CUST-00031,2026-04-07T21:53:00.262656,COMPLETED,229.96,0.00,0.00,NZD,ios,,Christchurch
ORD-00031-07,CUST-00031,2026-04-29T21:15:00.262656,COMPLETED,79.96,0.00,7.99,NZD,web,,Christchurch
ORD-00031-08,CUST-00031,2026-05-18T18:51:00.262656,COMPLETED,255.94,0.00,0.00,NZD,web,,Christchurch
ORD-00031-09,CUST-00031,2026-06-05T11:41:00.262656,COMPLETED,69.96,0.00,7.99,NZD,web,,Christchurch
ORD-00031-10,CUST-00031,2026-06-27T19:12:00.262656,COMPLETED,154.97,0.00,0.00,NZD,ios,,Christchurch
ORD-00031-11,CUST-00031,2026-07-17T18:35:00.262656,COMPLETED,81.96,0.00,7.99,NZD,web,,Christchurch
ORD-00031-12,CUST-00031,2026-08-10T19:39:00.262656,COMPLETED,260.93,0.00,0.00,NZD,web,,Christchurch
ORD-00041-01,CUST-00041,2025-06-18T20:52:00.262656,COMPLETED,25.98,0.00,7.99,NZD,android,,Auckland
ORD-00041-02,CUST-00041,2025-06-17T18:09:00.262656,COMPLETED,32.98,0.00,7.99,NZD,web,,Auckland
ORD-00041-03,CUST-00041,2025-06-16T17:08:00.262656,COMPLETED,57.97,0.00,7.99,NZD,web,,Auckland
ORD-00041-04,CUST-00041,2025-06-16T21:38:00.262656,COMPLETED,55.17,11.79,7.99,NZD,ios,WELCOME15,Auckland
ORD-00041-05,CUST-00041,2025-06-19T17:57:00.262656,COMPLETED,40.37,3.60,7.99,NZD,android,RESTOCK20,Auckland
ORD-00041-06,CUST-00041,2025-06-17T18:27:00.262656,CANCELLED,20.98,0.00,7.99,NZD,ios,,Auckland
ORD-00041-07,CUST-00041,2025-06-22T19:37:00.262656,COMPLETED,63.97,0.00,7.99,NZD,android,,Auckland
ORD-00041-08,CUST-00041,2025-07-26T21:44:00.262656,COMPLETED,57.97,0.00,7.99,NZD,android,,Auckland
ORD-00044-01,CUST-00044,2026-07-02T11:17:00.262656,COMPLETED,29.98,0.00,7.99,NZD,ios,,Tauranga
ORD-00044-02,CUST-00044,2026-08-12T20:20:00.262656,COMPLETED,47.98,0.00,7.99,NZD,ios,,Tauranga
ORD-00046-01,CUST-00046,2026-01-05T20:49:00.262656,COMPLETED,234.97,0.00,0.00,NZD,ios,,Auckland
ORD-00046-02,CUST-00046,2026-01-28T19:55:00.262656,COMPLETED,304.96,0.00,0.00,NZD,web,,Auckland
ORD-00046-03,CUST-00046,2026-02-26T20:44:00.262656,COMPLETED,57.98,0.00,7.99,NZD,web,,Auckland
ORD-00046-04,CUST-00046,2026-08-18T20:32:00.262656,COMPLETED,143.98,36.00,0.00,NZD,web,WELCOME15,Auckland
ORD-00052-01,CUST-00052,2025-10-11T17:33:00.262656,COMPLETED,89.99,0.00,0.00,NZD,web,,Auckland
ORD-00052-02,CUST-00052,2025-11-09T20:27:00.262656,COMPLETED,159.97,0.00,0.00,NZD,web,,Auckland
ORD-00052-03,CUST-00052,2025-12-07T18:37:00.262656,COMPLETED,229.96,0.00,0.00,NZD,ios,,Auckland
ORD-00052-04,CUST-00052,2026-01-05T18:53:00.262656,COMPLETED,189.97,0.00,0.00,NZD,android,,Auckland
ORD-00052-05,CUST-00052,2026-02-01T19:54:00.262656,COMPLETED,283.45,31.50,0.00,NZD,web,GIMME10,Auckland
ORD-00052-06,CUST-00052,2026-03-01T18:51:00.262656,COMPLETED,259.97,0.00,0.00,NZD,web,,Auckland
ORD-00052-07,CUST-00052,2026-04-07T16:01:00.262656,COMPLETED,83.98,21.00,0.00,NZD,ios,RESTOCK20,Auckland
ORD-00052-08,CUST-00052,2026-05-11T19:28:00.262656,COMPLETED,227.97,56.99,0.00,NZD,web,WELCOME15,Auckland
ORD-00052-09,CUST-00052,2026-06-07T18:23:00.262656,COMPLETED,189.97,0.00,0.00,NZD,android,,Auckland
ORD-00052-10,CUST-00052,2026-07-07T16:36:00.262656,COMPLETED,159.98,0.00,0.00,NZD,web,,Auckland
ORD-00052-11,CUST-00052,2026-08-13T14:47:00.262656,COMPLETED,154.97,0.00,0.00,NZD,web,,Auckland
ORD-00087-01,CUST-00087,2026-07-10T20:47:00.262656,COMPLETED,91.75,16.19,0.00,NZD,web,GIMME10,Christchurch
ORD-00087-02,CUST-00087,2026-08-06T18:29:00.262656,COMPLETED,25.98,0.00,7.99,NZD,web,,Christchurch
ORD-00097-01,CUST-00097,2026-07-14T17:08:00.262656,COMPLETED,42.98,0.00,7.99,NZD,android,,Wellington
ORD-00097-02,CUST-00097,2026-08-06T18:07:00.262656,COMPLETED,42.98,0.00,7.99,NZD,web,,Wellington
